,month,abs_residual
0,1,3.1784010987973765
1,2,2.830673524036612
2,3,2.4180184357837593
3,4,4.143924049884327
4,5,3.5153610665373245
5,6,3.3311510967922806
6,7,3.2010977843467883
7,8,3.3219051540200164
8,9,3.2845978031236123
9,10,3.1363605049394687
10,11,3.177320007310771
11,12,2.0966246638144184
